Age,Gender,Work hours,Screen time,Sleep time,Exercise frequency,Mood Stability,Fatigue level,Headache,Social Connections,Work Stress,Personal Time Satisfaction,Overall_Balance_Score,Sleep_Hours
30 - 45,Female,9 - 10 hours,More than 6 hours,More than 8 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Weak,Low,Poor,0,5.374949844047459
45 - 60,Male,More than 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Exhausted,Sometimes,Moderate,High,Good,0,6.308317388987497
16 - 21,Male,7 - 8 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Occasionally tired,Sometimes,Strong,High,Poor,2,7.749080237694725
30 - 45,Male,More than 10 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Unstable,Fresh,Never,Weak,Low,Average,1,6.5238143619189914
30 - 45,Male,More than 10 hours,Less than 2 hours,More than 8 hours,Daily,Neutral,Fresh,Never,Weak,Low,Good,2,8.901428612819831
45 - 60,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Unstable,Exhausted,Frequently,Strong,Low,Average,0,5.196510934046601
16 - 21,Female,More than 10 hours,2 - 4 hours,More than 8 hours,Never,Unstable,Fresh,Never,Strong,Low,Average,1,7.088933518305359
16 - 21,Male,9 - 10 hours,Less than 2 hours,4 - 6 hours,3 - 4 times per week,Neutral,Occasionally tired,Frequently,Strong,Low,Good,2,8.46398788362281
30 - 45,Female,Less than 7 hours,More than 6 hours,More than 8 hours,Daily,Unstable,Often tired,Never,Weak,Low,Average,1,7.3456653899288655
22 - 30,Female,Less than 7 hours,Less than 2 hours,More than 8 hours,3 - 4 times per week,Unstable,Fresh,Frequently,Strong,Medium,Average,2,8.197316968394073
30 - 45,Male,9 - 10 hours,2 - 4 hours,4 - 6 hours,Never,Unstable,Exhausted,Frequently,Strong,Low,Average,0,5.527978978319622
30 - 45,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,Daily,Neutral,Often tired,Frequently,Moderate,Low,Good,2,7.312037280884873
30 - 45,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,Daily,Stable,Often tired,Frequently,Moderate,Medium,Good,2,7.3119890406724055
30 - 45,Male,More than 10 hours,4 - 6 hours,Less than 4 hours,Never,Stable,Occasionally tired,Sometimes,Weak,Low,Average,0,6.067306025482286
45 - 60,Male,7 - 8 hours,More than 6 hours,Less than 4 hours,Never,Neutral,Exhausted,Frequently,Moderate,High,Good,0,5.29308556464254
16 - 21,Female,More than 10 hours,More than 6 hours,4 - 6 hours,Never,Stable,Fresh,Never,Moderate,High,Good,0,5.744173400455747
45 - 60,Female,Less than 7 hours,4 - 6 hours,More than 8 hours,Never,Unstable,Exhausted,Sometimes,Strong,Low,Average,0,6.22472741749349
45 - 60,Male,7 - 8 hours,4 - 6 hours,Less than 4 hours,Never,Stable,Often tired,Sometimes,Strong,Medium,Good,1,7.330629636397676
45 - 60,Female,Less than 7 hours,More than 6 hours,Less than 4 hours,Daily,Unstable,Exhausted,Frequently,Moderate,High,Poor,0,6.399041247315284
30 - 45,Male,More than 10 hours,4 - 6 hours,More than 8 hours,Daily,Stable,Fresh,Sometimes,Moderate,Medium,Good,2,7.116167224336399
22 - 30,Male,9 - 10 hours,2 - 4 hours,More than 8 hours,3 - 4 times per week,Neutral,Fresh,Frequently,Moderate,High,Poor,1,7.169813318786436
16 - 21,Male,9 - 10 hours,2 - 4 hours,6 - 8 hours,3 - 4 times per week,Stable,Occasionally tired,Never,Weak,Low,Average,2,8.732352291549871
22 - 30,Female,7 - 8 hours,2 - 4 hours,More than 8 hours,1 - 2 times per week,Stable,Fresh,Frequently,Weak,Medium,Good,2,8.202230023486418
45 - 60,Female,Less than 7 hours,More than 6 hours,4 - 6 hours,3 - 4 times per week,Stable,Fresh,Sometimes,Weak,Medium,Average,1,6.963047469231432
45 - 60,Female,Less than 7 hours,4 - 6 hours,4 - 6 hours,3 - 4 times per week,Neutral,Exhausted,Never,Moderate,Medium,Average,1,6.1262099474925735
22 - 30,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,Never,Stable,Exhausted,Frequently,Moderate,High,Average,0,4.794146961858075
22 - 30,Female,9 - 10 hours,Less than 2 hours,Less than 4 hours,Never,Neutral,Often tired,Never,Weak,High,Average,0,6.353175250322989
22 - 30,Male,More than 10 hours,Less than 2 hours,Less than 4 hours,3 - 4 times per week,Unstable,Occasionally tired,Never,Weak,High,Average,0,5.484232586159076
45 - 60,Male,7 - 8 hours,4 - 6 hours,More than 8 hours,1 - 2 times per week,Stable,Exhausted,Sometimes,Moderate,Low,Good,1,6.2424430711419205
45 - 60,Male,More than 10 hours,4 - 6 hours,4 - 6 hours,Never,Neutral,Fresh,Never,Strong,High,Poor,0,5.0164887765979165
16 - 21,Male,9 - 10 hours,4 - 6 hours,Less than 4 hours,3 - 4 times per week,Neutral,Often tired,Sometimes,Weak,Low,Good,1,7.347831282790619
16 - 21,Female,Less than 7 hours,More than 6 hours,6 - 8 hours,3 - 4 times per week,Stable,Exhausted,Never,Moderate,Medium,Good,2,8.41614515559209
45 - 60,Male,9 - 10 hours,4 - 6 hours,6 - 8 hours,Daily,Unstable,Occasionally tired,Frequently,Moderate,Medium,Good,2,7.041168988591605
22 - 30,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,1 - 2 times per week,Neutral,Occasionally tired,Never,Strong,Low,Good,2,8.93981970432399
22 - 30,Male,Less than 7 hours,More than 6 hours,6 - 8 hours,Daily,Stable,Often tired,Frequently,Moderate,High,Poor,1,6.909643589489384
16 - 21,Female,7 - 8 hours,4 - 6 hours,6 - 8 hours,1 - 2 times per week,Unstable,Often tired,Frequently,Moderate,Low,Good,1,6.013795577424944
45 - 60,Female,7 - 8 hours,Less than 2 hours,4 - 6 hours,Never,Neutral,Often tired,Never,Weak,Medium,Average,0,5.418271512476522
